article_id,article_header,coder,ldi,relevant,start_date,end_date,date_precision,site_name,site_location,site_type,initiator,group_at_site,damage_type
01-2024-98,,Comfort Folakemi Oshagbemi,2025-10-07 13:29:23,Yes,12/31/23,12/31/23,New Years eve,Shukhevych Museum,"Bilohorshcha, Lviv",Museum,Russian,,"Shelling (artillery fire, bullet)"
10-2022-20,,Comfort Folakemi Oshagbemi,2025-10-07 13:31:35,Yes,,,,Mariupol's museums,Mariupol,Museum,Russian forces,,Looting/stealing
06-2024-21,,Comfort Folakemi Oshagbemi,2025-10-07 18:45:22,Yes,05/01/2022,,,Hryhorii Skovoroda museum ,,Museum,Russian forces,,Fire
08-2024-52,,Comfort Folakemi Oshagbemi,2025-10-07 18:45:54,No,,,,,,Museum,,,Fire
05-2022-191,Russian attack on Ukraine's civilian infrastructure and cultural property: UK statement to the OSCE,Comfort Folakemi Oshagbemi,2025-10-07 18:46:52,No,,,,,,Museum,,,Fire
07-2023-719,UK says it's concerned that Russia may target civilian ships in Black Sea,Comfort Folakemi Oshagbemi,2025-10-07 18:52:28,Yes,,,Yesterday,Odesa,Odesa,Other,Russia,,UNKNOWN
12-2023-39,,Comfort Folakemi Oshagbemi,2025-10-07 18:55:21,No,,,Yesterday,,,Other,,,UNKNOWN
02-2024-44,,Comfort Folakemi Oshagbemi,2025-10-07 19:02:43,Yes,,,23 July last year,Cathedral of the Transfiguration,Odesa,"Place of worship (mosque, church, synagogue, cathedral, temple, chapel)",Russia,,Airstrike
11-2024-97,Odesa: UNESCO Condemns Strikes on World Heritage Site,Comfort Folakemi Oshagbemi,2025-10-07 19:08:58,Yes,11/14/2024,11/15/2024,,Historic Centre of Odesa,Odesa,Other,Russia,,UNKNOWN
08-2022-13,,Comfort Folakemi Oshagbemi,2025-10-07 19:09:24,No,,,,,,Other,,,UNKNOWN
09-2022-18,"More than 1,500 Ukrainian monuments may have been damaged, says U.S.",Comfort Folakemi Oshagbemi,2025-10-07 19:10:00,No,,,,,,Other,,,UNKNOWN
05-2022-23,Brazen Heist At Museum Nets Russians Trove of Gold,Comfort Folakemi Oshagbemi,2025-10-07 19:14:29,No,,,,Museum in Melitopol,Melitopol,Museum,Russian soliders,,Looting/stealing
05-2022-23,Brazen Heist At Museum Nets Russians Trove of Gold,Comfort Folakemi Oshagbemi,2025-10-07 19:15:28,Yes,,,,Museum in Melitopol,Melitopol,Museum,Russian soliders,,Looting/stealing
07-2023-312,"Zelensky: Despite attempts to break our state, we know Ukraine has future",Comfort Folakemi Oshagbemi,2025-10-07 19:18:22,Yes,,,this night, Holy Transfiguration Cathedral ,Odesa,"Place of worship (mosque, church, synagogue, cathedral, temple, chapel)",Russian Terrorist,Twenty people,UNKNOWN
09-2023-72,Borrell begins surprise visit to Ukraine at Odessa's Transfiguration Cathedral,Comfort Folakemi Oshagbemi,2025-10-07 19:20:22,No,,,this night,,,"Place of worship (mosque, church, synagogue, cathedral, temple, chapel)",,,UNKNOWN
09-2023-72,Borrell begins surprise visit to Ukraine at Odessa's Transfiguration Cathedral,Comfort Folakemi Oshagbemi,2025-10-07 19:21:32,No,,,,,,Other,,,UNKNOWN
07-2023-372,Cathedral hit as Russian bombs rain on port city,Comfort Folakemi Oshagbemi,2025-10-07 19:23:10,Yes,,,,Transfiguration Cathedral,Odesa,"Place of worship (mosque, church, synagogue, cathedral, temple, chapel)",Russia,2 people,"Explosion (bomb, explosive detonation)"
07-2024-32,"For Ukrainians, war of survival is also a battle to defend their identity; The Ukrainian people have seen, in the dismissal of their historical and cultural distinctiveness, and in the physical attacks on their cultural institutions, a coordinated Russian campaign against their national identity.",Comfort Folakemi Oshagbemi,2025-10-07 20:11:47,Yes,,,After more than two years of war,,,"Place of worship (mosque, church, synagogue, cathedral, temple, chapel)",Russia,,"Shelling (artillery fire, bullet)"
07-2024-31,The Language of War by Oleksandr Mykhed and Our Daily War by Andrey Kurkov review,Comfort Folakemi Oshagbemi,2025-10-07 20:14:59,No,,,After more than two years of war,,,"Place of worship (mosque, church, synagogue, cathedral, temple, chapel)",,,"Shelling (artillery fire, bullet)"
09-2022-30,,Comfort Folakemi Oshagbemi,2025-10-07 20:17:07,Yes,,,For half a year,,,Other,Russia,,UNKNOWN
07-2023-103,,Comfort Folakemi Oshagbemi,2025-10-07 20:17:35,No,,,For half a year,,,Other,,,UNKNOWN
07-2023-108,Removing rubble at Transfiguration Cathedral in Odesa,Comfort Folakemi Oshagbemi,2025-10-07 20:20:26,Yes,07/23/23,07/23/23,Sunday night,Transfiguration Cathedral,Odesa,"Place of worship (mosque, church, synagogue, cathedral, temple, chapel)",Russia,Civilian group,"Shelling (artillery fire, bullet)"
